,country,country_name,type,level,2016,2017,2018,difference,average
0,BE,Belgium,Conventional thermal,Level 1,30728,31316,30092.635,-635.365,30712.21167
1,BE,Belgium,Nuclear,Level 1,41430,40128.5,26995.628,-14434.372,36184.70933
2,BE,Belgium,Hydro,Level 1,1476,1360.9,1239.248,-236.752,1358.716
3,BE,Belgium,Pumped hydro power,Level 2,1110,1093.2,983.19,-126.81,1062.13
4,BE,Belgium,Wind,Level 1,5340,6387.9,7177.346,1837.346,6301.748667
5,BE,Belgium,Solar,Level 1,3070,3264.3,3488.979,418.979,3274.426333
6,BE,Belgium,Geothermal,Level 1,0,0,0,0,0
7,BE,Belgium,Other,Level 1,476,490.9,218.509,-257.491,395.1363333
8,BG,Bulgaria,Conventional thermal,Level 1,18909,20234.209,19334,425,19492.403
9,BG,Bulgaria,Nuclear,Level 1,14932,14718.368,15290,358,14980.12267
10,BG,Bulgaria,Hydro,Level 1,4535,3458.015,4690,155,4227.671667
11,BG,Bulgaria,Pumped hydro power,Level 2,619,603.713,987,368,736.571
12,BG,Bulgaria,Wind,Level 1,1425,1504.063,1326,-99,1418.354333
13,BG,Bulgaria,Solar,Level 1,1386,1402.766,1043,-343,1277.255333
14,BG,Bulgaria,Geothermal,Level 1,0,0,0,0,0
15,BG,Bulgaria,Other,Level 1,34,33.882,22,-12,29.96066667
16,CZ,Czechia,Conventional thermal,Level 1,47817,47246.628,48042.915,225.915,47702.181
17,CZ,Czechia,Nuclear,Level 1,22727,26785.6,28255.421,5528.421,25922.67367
18,CZ,Czechia,Hydro,Level 1,3169,3007.403,2650.153,-518.847,2942.185333
19,CZ,Czechia,Pumped hydro power,Level 2,1186,1155.492,1037.317,-148.683,1126.269667
20,CZ,Czechia,Wind,Level 1,488,581.917,600.67,112.67,556.8623333
21,CZ,Czechia,Solar,Level 1,2110,2168.74,2317.645,207.645,2198.795
22,CZ,Czechia,Geothermal,Level 1,0,0,0,0,0
23,CZ,Czechia,Other,Level 1,87,95.478,100.826,13.826,94.43466667
24,DK,Denmark,Conventional thermal,Level 1,15533.149,14104.326,14072.337,-1460.812,14569.93733
25,DK,Denmark,Nuclear,Level 1,0,0,0,0,0
26,DK,Denmark,Hydro,Level 1,19.272,17.871,14.929,-4.343,17.35733333
27,DK,Denmark,Pumped hydro power,Level 2,0,0,0,0,0
28,DK,Denmark,Wind,Level 1,12781.731,14780,13898.806,1117.075,13820.179
29,DK,Denmark,Solar,Level 1,743.78,751.485,952.973,209.193,816.0793333
30,DK,Denmark,Geothermal,Level 1,0,0,0,0,0
31,DK,Denmark,Other,Level 1,0,0,0.044,0.044,0.014666667
32,DE,Germany,Conventional thermal,Level 1,390141,376128,320437.701,-69703.299,362235.567
33,DE,Germany,Nuclear,Level 1,80038,72155,72274.133,-7763.867,74822.37767
34,DE,Germany,Hydro,Level 1,25690,25888,20041.878,-5648.122,23873.29267
35,DE,Germany,Pumped hydro power,Level 2,5451,5910,6661.083,1210.083,6007.361
36,DE,Germany,Wind,Level 1,78218,103707,112174,33956,98033
37,DE,Germany,Solar,Level 1,38098,39401,46184,8086,41227.66667
38,DE,Germany,Geothermal,Level 1,165,157,165.25,0.25,162.4166667
39,DE,Germany,Other,Level 1,1805,1623,522.751,-1282.249,1316.917
40,EE,Estonia,Conventional thermal,Level 1,9795,10485,10170.043,375.043,10150.01433
41,EE,Estonia,Nuclear,Level 1,0,0,0,0,0
42,EE,Estonia,Hydro,Level 1,35,26,18.2,-16.8,26.4
43,EE,Estonia,Pumped hydro power,Level 2,0,0,0,0,0
44,EE,Estonia,Wind,Level 1,594,723,645.9,51.9,654.3
45,EE,Estonia,Solar,Level 1,0,0,0,0,0
46,EE,Estonia,Geothermal,Level 1,0,0,0,0,0
47,EE,Estonia,Other,Level 1,0,0,0,0,0
48,IE,Ireland,Conventional thermal,Level 1,22571.711,21745.666,19963.734,-2607.977,21427.037
49,IE,Ireland,Nuclear,Level 1,0,0,0,0,0
50,IE,Ireland,Hydro,Level 1,962.861,885.765,921.979,-40.882,923.535
51,IE,Ireland,Pumped hydro power,Level 2,288.676,201.184,234.936,-53.74,241.5986667
52,IE,Ireland,Wind,Level 1,6148.508,7444.742,8349.172,2200.664,7314.140667
53,IE,Ireland,Solar,Level 1,6.16,10.801,0,-6.16,5.653666667
54,IE,Ireland,Geothermal,Level 1,0,0,0,0,0
55,IE,Ireland,Other,Level 1,0,0,0,0,0
56,EL,Greece,Conventional thermal,Level 1,35586,37021.751,34803.244,-782.756,35803.665
57,EL,Greece,Nuclear,Level 1,0,0,0,0,0
58,EL,Greece,Hydro,Level 1,5565,4039,5802.417,237.417,5135.472333
59,EL,Greece,Pumped hydro power,Level 2,22,77.259,636.1,614.1,245.1196667
60,EL,Greece,Wind,Level 1,5146,5536.987,6300.26,1154.26,5661.082333
61,EL,Greece,Solar,Level 1,3930,3991.477,3792.038,-137.962,3904.505
62,EL,Greece,Geothermal,Level 1,0,0,0,0,0
63,EL,Greece,Other,Level 1,0,0,10.99,10.99,3.663333333
64,ES,Spain,Conventional thermal,Level 1,108210,126885,110084.238,1874.238,115059.746
65,ES,Spain,Nuclear,Level 1,56100,55540,53270.8,-2829.2,54970.26667
66,ES,Spain,Hydro,Level 1,39180,20708,36083.636,-3096.364,31990.54533
67,ES,Spain,Pumped hydro power,Level 2,3410,2249,2009.408,-1400.592,2556.136
68,ES,Spain,Wind,Level 1,47712,47929,49495.207,1783.207,48378.73567
69,ES,Spain,Solar,Level 1,13051,13778,12137.315,-913.685,12988.77167
70,ES,Spain,Geothermal,Level 1,0,0,0,0,0
71,ES,Spain,Other,Level 1,91,78,0,-91,56.33333333
72,FR,France,Conventional thermal,Level 1,60607.854,68922.949,53956.44,-6651.414,61162.41433
73,FR,France,Nuclear,Level 1,384008.125,379093.955,393153.254,9145.129,385418.4447
74,FR,France,Hydro,Level 1,64879.956,54432.864,68706.552,3826.596,62673.124
75,FR,France,Pumped hydro power,Level 2,4786.979,5070.791,9082.043,4295.064,6313.271
76,FR,France,Wind,Level 1,21472.916,24710.749,26134.02,4661.104,24105.895
77,FR,France,Solar,Level 1,8657.27,9572.843,9651.478,994.208,9293.863667
78,FR,France,Geothermal,Level 1,87.933,119.937,84.084,-3.849,97.318
79,FR,France,Other,Level 1,559.515,673.71,0,-559.515,411.075
80,HR,Croatia,Conventional thermal,Level 1,4241,4808,4155.654,-85.346,4401.551333
81,HR,Croatia,Nuclear,Level 1,0,0,0,0,0
82,HR,Croatia,Hydro,Level 1,6967,5437.8,7681.337,714.337,6695.379
83,HR,Croatia,Pumped hydro power,Level 2,205,200.3,583.988,378.988,329.7626667
84,HR,Croatia,Wind,Level 1,1010,1198.4,1350.356,340.356,1186.252
85,HR,Croatia,Solar,Level 1,66,78.7,69.193,3.193,71.29766667
86,HR,Croatia,Geothermal,Level 1,0,0,0,0,0
87,HR,Croatia,Other,Level 1,0,0,0,0,0
88,IT,Italy,Conventional thermal,Level 1,190121,199722.444,185046,-5075,191629.8147
89,IT,Italy,Nuclear,Level 1,0,0,0,0,0
90,IT,Italy,Hydro,Level 1,43784.622,37556.721,49275,5490.378,43538.781
91,IT,Italy,Pumped hydro power,Level 2,1825.204,1825.96,1632,-193.204,1761.054667
92,IT,Italy,Wind,Level 1,17523,17565.332,17318,-205,17468.77733
93,IT,Italy,Solar,Level 1,21757,24016.821,22887,1130,22886.94033
94,IT,Italy,Geothermal,Level 1,5867,5821.46,5708,-159,5798.82
95,IT,Italy,Other,Level 1,650,582.871,0,-650,410.957
96,CY,Cyprus,Conventional thermal,Level 1,4295,4394.819,4380.143,85.143,4356.654
97,CY,Cyprus,Nuclear,Level 1,0,0,0,0,0
98,CY,Cyprus,Hydro,Level 1,0,0,0,0,0
99,CY,Cyprus,Pumped hydro power,Level 2,0,0,0,0,0
100,CY,Cyprus,Wind,Level 1,226.701,211.448,220.613,-6.088,219.5873333
101,CY,Cyprus,Solar,Level 1,145.937,172.013,190.329,44.392,169.4263333
102,CY,Cyprus,Geothermal,Level 1,0,0,0,0,0
103,CY,Cyprus,Other,Level 1,0,0,0,0,0
104,LV,Latvia,Conventional thermal,Level 1,3277,2520.383,3962,685,3253.127667
105,LV,Latvia,Nuclear,Level 1,0,0,0,0,0
106,LV,Latvia,Hydro,Level 1,2523,4355.513,2418,-105,3098.837667
107,LV,Latvia,Pumped hydro power,Level 2,0,0,0,0,0
108,LV,Latvia,Wind,Level 1,127,148.523,120,-7,131.841
109,LV,Latvia,Solar,Level 1,0,0.44,0,0,0.146666667
110,LV,Latvia,Geothermal,Level 1,0,0,0,0,0
111,LV,Latvia,Other,Level 1,0,0,0,0,0
112,LT,Lithuania,Conventional thermal,Level 1,1566,1165.3,802.835,-763.165,1178.045
113,LT,Lithuania,Nuclear,Level 1,0,0,0,0,0
114,LT,Lithuania,Hydro,Level 1,1027,1164.6,940.677,-86.323,1044.092333
115,LT,Lithuania,Pumped hydro power,Level 2,577,567.5,513.684,-63.316,552.728
116,LT,Lithuania,Wind,Level 1,1130,1356.2,1136.357,6.357,1207.519
117,LT,Lithuania,Solar,Level 1,66,67,80.014,14.014,71.00466667
118,LT,Lithuania,Geothermal,Level 1,0,0,0,0,0
